,,,,,,,,,
,,,,,,,,,
,,app_id,helpful,funny,date,is_recommended,hours,user_id,review_id
,,214490,10,0,2021-11-27,TRUE,40.5,0,20008970
,,1454400,6,2,2022-02-18,TRUE,762.6,0,22036352
,,49520,35,16,2015-08-12,TRUE,2.1,0,24437527
,,221910,9,3,2021-09-26,TRUE,19.6,0,27192851
,,357900,6,0,2017-06-11,FALSE,1.0,0,28001671
,,526740,5,0,2017-06-18,FALSE,1.5,0,28808736
,,602890,0,0,2017-07-30,FALSE,1.5,0,28977362
,,267060,6,0,2014-09-02,FALSE,11.5,0,29135753
,,202750,7,3,2017-11-21,FALSE,10.5,0,29862499
,,260230,12,0,2014-06-25,FALSE,5.5,0,30298065
,,235540,28,2,2015-10-17,TRUE,21.9,0,30478477
,,591960,6,0,2020-07-02,FALSE,50.5,0,30611724
,,8850,8,0,2014-09-08,TRUE,61.5,0,31599112
,,222880,24,0,2022-02-22,TRUE,162.5,0,31617242
,,402840,3,0,2019-11-27,TRUE,157.4,0,32328323
,,269790,9,4,2018-01-02,FALSE,13.5,0,32438509
,,627690,8,0,2022-03-06,TRUE,103.3,0,34510797
,,487370,0,0,2017-06-11,FALSE,9.5,0,36598411
,,317400,15,0,2015-08-01,TRUE,18.0,0,36809055
,,423880,4,0,2017-06-18,FALSE,1.0,0,37066260
,,539450,3,0,2017-06-11,FALSE,5.5,0,37076223
,,339160,3,0,2017-06-16,FALSE,13.0,0,37747772
,,286360,62,12,2015-02-01,TRUE,8.5,0,38240098
,,451880,2,0,2017-06-11,FALSE,6.5,0,38292316
,,226960,7,0,2014-09-22,FALSE,1.0,0,39041000
,,365300,6,0,2017-06-26,FALSE,2.0,0,39319276
,,418950,2,2,2018-01-02,FALSE,5.0,0,39968043
,,63710,4,0,2014-06-16,FALSE,2.0,0,40342722
,,897450,0,0,2022-01-10,FALSE,14.9,1,6268568
,,291550,0,0,2020-11-01,TRUE,12.7,2,104397
,,493520,0,0,2020-10-30,TRUE,18.6,2,4715883
,,945360,0,0,2020-11-01,TRUE,18.6,2,19977228
,,848450,0,0,2021-12-04,TRUE,121.0,2,33600383
,,1407200,0,0,2021-09-25,TRUE,313.1,3,13380940
,,552990,0,0,2020-07-05,TRUE,175.1,3,14376678
,,739630,83,221,2021-04-17,TRUE,6.1,4,26659877
,,773951,3,0,2018-05-09,TRUE,66.7,5,11296061
,,275850,0,0,2022-04-26,TRUE,50.0,6,38401106
,,617290,0,0,2022-02-19,TRUE,23.0,6,38468523
,,581320,0,0,2020-06-17,TRUE,140.9,7,12693155
,,466560,0,0,2017-11-23,TRUE,11.7,8,7758738
,,374320,0,0,2020-11-18,TRUE,323.2,9,24841272
,,394360,0,0,2021-11-26,TRUE,107.0,10,305473
,,469600,0,0,2021-10-13,TRUE,26.2,10,9771144
,,289070,0,0,2021-03-29,TRUE,80.3,11,22580757
,,644930,0,0,2021-01-09,TRUE,280.9,11,23134026
,,323190,0,0,2022-01-06,TRUE,135.2,11,25761899
,,550,0,0,2014-09-29,TRUE,116.2,12,12812463
,,230410,4,0,2017-10-12,TRUE,836.3,13,2240777
,,980300,0,0,2019-04-19,TRUE,11.5,13,11719828
,,211820,0,0,2015-06-13,TRUE,94.3,13,19296653
,,1514660,0,0,2021-03-16,TRUE,0.5,13,28298862
,,387860,0,0,2015-08-12,TRUE,0.4,13,28367928
,,504230,0,0,2021-02-09,TRUE,50.8,14,33689690
,,286690,0,0,2021-10-06,TRUE,2.9,14,34480996
,,1282730,0,0,2021-11-25,TRUE,13.8,14,35061104
,,292030,3,0,2021-06-20,TRUE,146.8,14,36031802
